1540.4230,  1544.5950,  1540.3250,  1544.4680,  1548.2430,  1552.1620,  1556.7520,  1541.5050  
1540.4240  1544.5950  1540.3240  1544.4660  1548.2430  1552.1620  1556.7500  1541.5050  
1540.4240  1544.5950  1540.3250  1544.4680  1548.2440  1552.1620  1556.7520  1541.5050  
1540.4240  1544.5950  1540.3240  1544.4670  1548.2420  1552.1620  1556.7520  1541.5050  
1540.4230  1544.5950  1540.3250  1544.4670  1548.2420  1552.1620  1556.7520  1541.5050  
1540.4240  1544.5950  1540.3250  1544.4660  1548.2430  1552.1620  1556.7530  1541.5050  
1540.4230  1544.5950  1540.3240  1544.4680  1548.2420  1552.1620  1556.7520  1541.5050  
1540.4240  1544.5950  1540.3250  1544.4670  1548.2430  1552.1620  1556.7510  1541.5050  
1540.4240  1544.5950  1540.3250  1544.4660  1548.2430  1552.1620  1556.7510  1541.5050  
1540.4230  1544.5950  1540.3260  1544.4670  1548.2430  1552.1620  1556.7510  1541.5050  
1540.4240  1544.5950  1540.3240  1544.4680  1548.2430  1552.1620  1556.7510  1541.5050  
1540.4230  1544.5950  1540.3250  1544.4680  1548.2430  1552.1620  1556.7500  1541.5050  
1540.4240  1544.5950  1540.3250  1544.4670  1548.2430  1552.1630  1556.7520  1541.5050  
1540.4230  1544.5950  1540.3240  1544.4670  1548.2430  1552.1620  1556.7500  1541.5050  
1540.4240  1544.5950  1540.3250  1544.4660  1548.2430  1552.1620  1556.7510  1541.5050  
1540.4230  1544.5950  1540.3250  1544.4670  1548.2430  1552.1620  1556.7520  1541.5050  
1540.4240  1544.5950  1540.3250  1544.4670  1548.2430  1552.1620  1556.7510  1541.5050  
1540.4240  1544.5950  1540.3250  1544.4660  1548.2430  1552.1610  1556.7510  1541.5050  
1540.4230  1544.5950  1540.3250  1544.4670  1548.2430  1552.1620  1556.7520  1541.5050  
1540.4230  1544.5940  1540.3250  1544.4670  1548.2430  1552.1620  1556.7530  1541.5050  
1540.4240  1544.5950  1540.3250  1544.4660  1548.2430  1552.1630  1556.7510  1541.5050  
1540.4230  1544.5950  1540.3250  1544.4660  1548.2430  1552.1620  1556.7510  1541.5050  
1540.4230  1544.5950  1540.3250  1544.4670  1548.2430  1552.1620  1556.7510  1541.5050  
1540.4230  1544.5950  1540.3250  1544.4670  1548.2430  1552.1620  1556.7520  1541.5050  
1540.4240  1544.5950  1540.3250  1544.4660  1548.2420  1552.1620  1556.7500  1541.5050  
1540.4240  1544.5950  1540.3250  1544.4670  1548.2430  1552.1620  1556.7510  1541.5050  
1540.4240  1544.5950  1540.3240  1544.4660  1548.2430  1552.1620  1556.7520  1541.5050  
1540.4230  1544.5950  1540.3250  1544.4680  1548.2420  1552.1620  1556.7530  1541.5050  
1540.4230  1544.5950  1540.3240  1544.4680  1548.2430  1552.1620  1556.7520  1541.5050  
1540.4240  1544.5950  1540.3250  1544.4670  1548.2420  1552.1630  1556.7520  1541.5050  
1540.4230  1544.5950  1540.3240  1544.4670  1548.2420  1552.1620  1556.7520  1541.5050  
1540.4240  1544.5950  1540.3250  1544.4660  1548.2430  1552.1620  1556.7520  1541.5050  
1540.4240  1544.5950  1540.3250  1544.4660  1548.2430  1552.1620  1556.7520  1541.5050  
1540.4240  1544.5950  1540.3250  1544.4680  1548.2430  1552.1620  1556.7510  1541.5050  
1540.4240  1544.5950  1540.3250  1544.4660  1548.2420  1552.1620  1556.7520  1541.5050  
1540.4240  1544.5950  1540.3250  1544.4680  1548.2430  1552.1620  1556.7500  1541.5050  
1540.4240  1544.5950  1540.3250  1544.4660  1548.2420  1552.1620  1556.7510  1541.5050  
1540.4240  1544.5950  1540.3250  1544.4670  1548.2430  1552.1620  1556.7520  1541.5050  
1540.4240  1544.5950  1540.3250  1544.4670  1548.2430  1552.1620  1556.7500  1541.5050  
1540.4240  1544.5950  1540.3240  1544.4670  1548.2420  1552.1620  1556.7520  1541.5050  
1540.4240  1544.5950  1540.3250  1544.4660  1548.2440  1552.1620  1556.7510  1541.5050  
1540.4240  1544.5950  1540.3250  1544.4660  1548.2420  1552.1620  1556.7510  1541.5050  
1540.4240  1544.5950  1540.3250  1544.4660  1548.2420  1552.1620  1556.7500  1541.5050  
1540.4230  1544.5950  1540.3250  1544.4660  1548.2430  1552.1620  1556.7510  1541.5050  
1540.4240  1544.5950  1540.3250  1544.4660  1548.2420  1552.1620  1556.7510  1541.5050  
1540.4240  1544.5950  1540.3250  1544.4660  1548.2420  1552.1620  1556.7520  1541.5050  
1540.4230  1544.5950  1540.3250  1544.4670  1548.2420  1552.1620  1556.7520  1541.5050  
1540.4230  1544.5960  1540.3260  1544.4670  1548.2420  1552.1620  1556.7510  1541.5050  
1540.4230  1544.5950  1540.3250  1544.4670  1548.2430  1552.1620  1556.7520  1541.5050  
1540.4230  1544.5950  1540.3250  1544.4660  1548.2430  1552.1620  1556.7510  1541.5050  
1540.4240  1544.5950  1540.3250  1544.4670  1548.2430  1552.1620  1556.7520  1541.5050  
1540.4240  1544.5950  1540.3240  1544.4660  1548.2430  1552.1620  1556.7510  1541.5050  
1540.4240  1544.5950  1540.3250  1544.4670  1548.2430  1552.1620  1556.7520  1541.5050  
1540.4240  1544.5950  1540.3250  1544.4660  1548.2420  1552.1620  1556.7510  1541.5050  
1540.4240  1544.5950  1540.3250  1544.4660  1548.2410  1552.1620  1556.7520  1541.5050  
